,cp_level_x,cp_level_x,cp_level_x,cp_level_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,tr_citing_x,tr_citing_x,tr_citing_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,tr_cited_x,tr_cited_x,tr_cited_x,tr_cited_x,cp_level_y,cp_level_y,cp_level_y,cp_level_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,tr_citing_y,tr_citing_y,tr_citing_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,tr_cited_y,tr_cited_y,tr_cited_y,tr_cited_y,network_degree,network_degree,network_degree,network_degree,network_indegree,network_indegree,network_indegree,network_indegree,network_outdegree,network_outdegree,network_outdegree,network_outdegree,cluster_degree,cluster_degree,cluster_degree,cluster_degree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,node_count,edge_count
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,,
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4.798534798534798,2620,0,113,2.2344322344322345,1220,0,39,2.5641025641025643,1400,0,74,5.818681318681318,3177,0,194,2.4285714285714284,1326,0,83,2.36996336996337,1294,0,44,5.633699633699634,3076,0,126,2.8461538461538463,1443.0,0.0,27.0,1.2583826429980276,638.0,0.0,10.0,1.5877712031558184,805.0,0.0,23.0,3.6094674556213016,1830.0,0.0,91.0,1.3234714003944774,671.0,0.0,22.0,1.5226824457593688,772.0,0.0,22.0,3.6173570019723864,1834.0,0.0,96.0,9.518315018315018,5197,1,122,4.798534798534798,2620,0,113,4.71978021978022,2577,0,42,4.393374741200828,2122.0,1.0,22.0,2.1884057971014492,1057.0,0.0,18.0,2.2049689440993787,1065.0,0.0,15.0,,1061.0
19,14.119284294234593,7102,0,195,3.5049701789264414,1763,0,33,10.61431411530815,5339,0,162,50.184890656063615,25243,0,1344,3.8608349900596424,1942,0,153,10.25844930417495,5160,0,149,49.36182902584493,24829,0,781,7.264270613107822,3436.0,0.0,83.0,1.7653276955602537,835.0,0.0,10.0,5.498942917547569,2601.0,0.0,81.0,29.135306553911207,13781.0,0.0,1045.0,1.5771670190274842,746.0,0.0,51.0,5.687103594080338,2690.0,0.0,69.0,29.822410147991544,14106.0,0.0,527.0,28.455268389662027,14313,1,240,14.119284294234593,7102,0,195,14.335984095427435,7211,0,88,10.803921568627452,4959.0,1.0,62.0,5.350762527233115,2456.0,0.0,61.0,5.453159041394335,2503.0,0.0,49.0,,2479.5
20,7.228699551569507,3224,0,126,2.5269058295964126,1127,0,26,4.701793721973094,2097,0,106,18.62556053811659,8307,0,643,3.163677130044843,1411,0,87,4.065022421524664,1813,0,85,18.68609865470852,8334,0,384,4.700696055684455,2026.0,0.0,69.0,1.3062645011600929,563.0,0.0,7.0,3.394431554524362,1463.0,0.0,66.0,15.689095127610209,6762.0,0.0,583.0,1.839907192575406,793.0,0.0,69.0,2.8607888631090486,1233.0,0.0,65.0,15.663573085846867,6751.0,0.0,321.0,14.374439461883409,6411,1,137,7.228699551569507,3224,0,126,7.145739910313901,3187,0,44,7.71875,3211.0,1.0,52.0,3.8485576923076925,1601.0,0.0,49.0,3.8701923076923075,1610.0,0.0,34.0,,1605.5
21,4.879032258064516,1815,0,141,2.295698924731183,854,0,43,2.5833333333333335,961,0,98,6.424731182795699,2390,0,269,2.413978494623656,898,0,116,2.46505376344086,917,0,40,6.868279569892473,2555,0,154,3.0056657223796033,1061.0,0.0,28.0,1.2379603399433428,437.0,0.0,7.0,1.7677053824362605,624.0,0.0,27.0,4.609065155807365,1627.0,0.0,144.0,1.2577903682719547,444.0,0.0,21.0,1.7478753541076488,617.0,0.0,26.0,4.787535410764873,1690.0,0.0,71.0,10.255376344086022,3815,1,143,4.879032258064516,1815,0,141,5.376344086021505,2000,0,76,4.873198847262248,1691.0,1.0,25.0,2.377521613832853,825.0,0.0,23.0,2.4956772334293946,866.0,0.0,14.0,,845.5
22,7.637096774193548,2841,0,140,2.9166666666666665,1085,0,17,4.720430107526882,1756,0,123,14.704301075268818,5470,0,987,2.870967741935484,1068,0,140,4.766129032258065,1773,0,86,14.061827956989248,5231,0,177,4.786743515850144,1661.0,0.0,93.0,1.654178674351585,574.0,0.0,7.0,3.132564841498559,1087.0,0.0,86.0,9.985590778097983,3465.0,0.0,720.0,1.4438040345821326,501.0,0.0,93.0,3.3429394812680115,1160.0,0.0,72.0,10.05763688760807,3490.0,0.0,135.0,15.446236559139784,5746,1,140,7.637096774193548,2841,0,140,7.809139784946237,2905,0,55,6.283625730994152,2149.0,1.0,43.0,3.1432748538011697,1075.0,0.0,43.0,3.1403508771929824,1074.0,0.0,22.0,,1074.5
23,8.168021680216802,3014,0,72,3.048780487804878,1125,0,23,5.119241192411924,1889,0,67,13.883468834688347,5123,0,295,3.2737127371273713,1208,0,63,4.894308943089431,1806,0,61,14.463414634146341,5337,0,190,4.222857142857142,1478.0,0.0,40.0,1.4085714285714286,493.0,0.0,7.0,2.8142857142857145,985.0,0.0,37.0,7.962857142857143,2787.0,0.0,177.0,1.477142857142857,517.0,0.0,28.0,2.7457142857142856,961.0,0.0,30.0,7.862857142857143,2752.0,0.0,94.0,16.747967479674795,6180,1,149,8.168021680216802,3014,0,72,8.579945799457995,3166,0,103,5.919770773638969,2066.0,1.0,23.0,3.002865329512894,1048.0,0.0,20.0,2.9169054441260744,1018.0,0.0,16.0,,1033.0
24,5.163265306122449,1518,0,95,2.380952380952381,700,0,30,2.7823129251700682,818,0,65,6.5476190476190474,1925,0,136,2.6054421768707483,766,0,53,2.557823129251701,752,0,42,6.139455782312925,1805,0,67,3.0726643598615917,888.0,0.0,25.0,1.2906574394463668,373.0,0.0,9.0,1.782006920415225,515.0,0.0,22.0,4.730103806228374,1367.0,0.0,114.0,1.3529411764705883,391.0,0.0,25.0,1.7197231833910034,497.0,0.0,18.0,4.546712802768166,1314.0,0.0,53.0,10.238095238095237,3010,1,115,5.163265306122449,1518,0,95,5.074829931972789,1492,0,44,5.141304347826087,1419.0,1.0,22.0,2.597826086956522,717.0,0.0,22.0,2.5434782608695654,702.0,0.0,18.0,,709.5
25,4.864963503649635,1333,0,52,2.2992700729927007,630,0,24,2.565693430656934,703,0,37,6.018248175182482,1649,0,150,2.2262773722627736,610,0,50,2.6386861313868613,723,0,33,7.164233576642336,1963,0,163,3.095419847328244,811.0,0.0,31.0,1.3358778625954197,350.0,0.0,9.0,1.7595419847328244,461.0,0.0,25.0,4.458015267175573,1168.0,0.0,97.0,1.297709923664122,340.0,0.0,31.0,1.797709923664122,471.0,0.0,23.0,4.576335877862595,1199.0,0.0,82.0,10.675182481751825,2925,1,78,4.864963503649635,1333,0,52,5.810218978102189,1592,0,40,4.531746031746032,1142.0,1.0,25.0,2.2261904761904763,561.0,0.0,20.0,2.3055555555555554,581.0,0.0,22.0,,571.0
26,7.2899159663865545,1735,0,99,2.008403361344538,478,0,23,5.281512605042017,1257,0,92,28.399159663865547,6759,0,631,2.235294117647059,532,0,67,5.054621848739496,1203,0,72,27.869747899159663,6633,0,425,5.543859649122807,1264.0,0.0,71.0,1.1008771929824561,251.0,0.0,11.0,4.442982456140351,1013.0,0.0,68.0,27.12719298245614,6185.0,0.0,610.0,1.3070175438596492,298.0,0.0,58.0,4.2368421052631575,966.0,0.0,59.0,26.964912280701753,6148.0,0.0,413.0,14.289915966386555,3401,1,105,7.2899159663865545,1735,0,99,7.0,1666,0,28,10.15625,1950.0,1.0,48.0,5.166666666666667,992.0,0.0,45.0,4.989583333333333,958.0,0.0,25.0,,975.0
27,3.3464912280701755,763,0,31,1.8596491228070176,424,0,17,1.486842105263158,339,0,27,2.736842105263158,624,0,91,1.8508771929824561,422,0,27,1.4956140350877194,341,0,20,3.0350877192982457,692,0,36,2.130630630630631,473.0,0.0,22.0,1.1261261261261262,250.0,0.0,7.0,1.0045045045045045,223.0,0.0,20.0,2.0,444.0,0.0,73.0,1.018018018018018,226.0,0.0,19.0,1.1126126126126126,247.0,0.0,16.0,2.184684684684685,485.0,0.0,34.0,6.991228070175438,1594,1,37,3.3464912280701755,763,0,31,3.6447368421052633,831,0,30,3.4311926605504586,748.0,1.0,13.0,1.6788990825688073,366.0,0.0,12.0,1.7522935779816513,382.0,0.0,7.0,,374.0
